par,ai,ci,nominal,canto,cenario,metrica,media,ic95_inf,ic95_sup,N_instancias
amostra_02,17,9,False,01,centralizada,bateria_media,0.6974526692852303,0.6163354755122412,0.7785698630582194,4
amostra_02,17,9,False,01,centralizada,confianca_media_final,0.25,0.25,0.25,4
amostra_02,17,9,False,11,adaptativa,taxa_falha_efetiva,0.275,0.22906534422407307,0.32093465577592695,4
amostra_02,17,9,False,11,adaptativa,N_req,107.25,51.38035211616706,163.11964788383295,4
amostra_02,17,9,False,11,adaptativa,N_success,68.25,29.03030333731067,107.46969666268933,4
amostra_02,17,9,False,11,adaptativa,N_fail,39.0,19.170801295980766,58.829198704019234,4
amostra_02,17,9,False,11,adaptativa,N_blocked,18.5625,15.857128152065599,21.2678718479344,4
amostra_02,17,9,False,11,adaptativa,p2_bloqueio,65.0,38.88179546781474,91.11820453218526,4
amostra_02,17,9,False,11,adaptativa,fracao_porta1,0.46875,0.3964241863236957,0.5410758136763043,4
amostra_02,17,9,False,11,adaptativa,fracao_fuga,0.14095338969608118,0.06107842813194084,0.22082835126022152,4
amostra_02,17,9,False,11,adaptativa,fracao_fuga_p1,0.2509998115355274,0.14829293526362852,0.3537066878074263,4
amostra_02,17,9,False,11,adaptativa,n_executadas,60.0,60.0,60.0,4
amostra_02,17,9,False,11,adaptativa,n_concluidas,60.0,60.0,60.0,4
amostra_02,17,9,False,11,adaptativa,denominador_falha,60.0,60.0,60.0,4
amostra_02,17,9,False,11,adaptativa,numerador_falha,16.5,13.743920653444382,19.256079346555616,4
amostra_02,17,9,False,11,adaptativa,bateria_media,0.682889536349633,0.4934103135479032,0.8723687591513628,4
amostra_02,17,9,False,11,adaptativa,confianca_media_final,0.6834780573786841,0.5928666712434576,0.7740894435139105,4
amostra_02,17,9,False,11,centralizada,taxa_falha_efetiva,0.265625,0.17962521134221698,0.351624788657783,4
amostra_02,17,9,False,11,centralizada,N_req,108.0,39.42108189419541,176.57891810580458,4
amostra_02,17,9,False,11,centralizada,N_success,69.4375,18.68191381255715,120.19308618744284,4
amostra_02,17,9,False,11,centralizada,N_fail,38.5625,17.556809930800775,59.568190069199225,4
amostra_02,17,9,False,11,centralizada,N_blocked,17.5625,13.335326021813096,21.789673978186904,4
amostra_02,17,9,False,11,centralizada,p2_bloqueio,66.0,37.24219062478725,94.75780937521276,4
amostra_02,17,9,False,11,centralizada,fracao_porta1,0.44479166666666664,0.3343287411776469,0.5552545921556864,4
amostra_02,17,9,False,11,centralizada,fracao_fuga,0.1306822608668326,0.04495203762387115,0.21641248410979405,4
amostra_02,17,9,False,11,centralizada,fracao_fuga_p1,0.2398039912069025,0.13656238625674563,0.3430455961570593,4
amostra_02,17,9,False,11,centralizada,n_executadas,60.0,60.0,60.0,4
amostra_02,17,9,False,11,centralizada,n_concluidas,60.0,60.0,60.0,4
amostra_02,17,9,False,11,centralizada,denominador_falha,60.0,60.0,60.0,4
amostra_02,17,9,False,11,centralizada,numerador_falha,15.9375,10.777512680533018,21.097487319466982,4
amostra_02,17,9,False,11,centralizada,bateria_media,0.7578771867802634,0.6331849619391522,0.8825694116213746,4
amostra_02,17,9,False,11,centralizada,confianca_media_final,0.6844946961168569,0.5359782357428253,0.8330111564908884,4
amostra_03,62,68,False,00,adaptativa,taxa_falha_efetiva,0.259375,0.22372217381481668,0.29502782618518336,4
amostra_03,62,68,False,00,adaptativa,N_req,140.9375,53.264031327342096,228.61096867265792,4
amostra_03,62,68,False,00,adaptativa,N_success,102.125,27.397841824201336,176.85215817579865,4
amostra_03,62,68,False,00,adaptativa,N_fail,38.8125,14.317276822255003,63.307723177745,4
amostra_03,62,68,False,00,adaptativa,N_blocked,0.0625,-0.13640289408023173,0.26140289408023176,4
amostra_03,62,68,False,00,adaptativa,p2_bloqueio,47.0625,22.402016832747186,71.7229831672528,4
amostra_03,62,68,False,00,adaptativa,fracao_porta1,0.4302083333333333,0.3357633906707817,0.524653275995885,4
amostra_03,62,68,False,00,adaptativa,fracao_fuga,0.0,0.0,0.0,4
amostra_03,62,68,False,00,adaptativa,fracao_fuga_p1,0.0,0.0,0.0,4
amostra_03,62,68,False,00,adaptativa,n_executadas,60.0,60.0,60.0,4
amostra_03,62,68,False,00,adaptativa,n_concluidas,60.0,60.0,60.0,4
