arquivo,combinacao,makespan_cpm,makespan_recursos,razao_makespan,ativas_media,ativas_p90,ativas_max
j6040_1.sm,40,86,86,1.0,4.3604651162790695,6.0,8
j6040_10.sm,40,73,73,1.0,4.191780821917808,6.0,8
j6040_2.sm,40,81,81,1.0,4.345679012345679,7.0,9
j6040_3.sm,40,70,70,1.0,4.6,7.0,8
j6040_4.sm,40,87,87,1.0,3.8850574712643677,6.400000000000006,8
j6040_5.sm,40,83,83,1.0,4.469879518072289,7.0,10
j6040_6.sm,40,69,69,1.0,4.565217391304348,7.0,9
j6040_7.sm,40,68,68,1.0,4.588235294117647,7.0,8
j6040_8.sm,40,80,80,1.0,4.3875,6.1000000000000085,8
j6040_9.sm,40,90,90,1.0,3.8,5.1000000000000085,7
j6041_1.sm,41,91,157,1.7252747252747254,2.2929936305732483,3.0,4
j6041_10.sm,41,71,134,1.8873239436619718,2.716417910447761,4.0,4
j6041_2.sm,41,81,138,1.7037037037037037,2.3840579710144927,3.0,4
j6041_3.sm,41,58,131,2.2586206896551726,2.3206106870229006,3.0,4
j6041_4.sm,41,100,174,1.74,1.9080459770114941,3.0,4
j6041_5.sm,41,67,153,2.283582089552239,2.2549019607843137,3.0,4
j6041_6.sm,41,82,173,2.1097560975609757,1.9595375722543353,3.0,4
j6041_7.sm,41,79,172,2.1772151898734178,2.063953488372093,3.0,5
j6041_8.sm,41,95,187,1.9684210526315788,1.8823529411764706,3.0,4
j6041_9.sm,41,80,164,2.05,2.2865853658536586,3.0,4
j6042_1.sm,42,83,96,1.1566265060240963,3.4166666666666665,5.0,5
j6042_10.sm,42,87,105,1.206896551724138,2.8380952380952382,4.6000000000000085,6
j6042_2.sm,42,68,77,1.1323529411764706,4.0519480519480515,6.0,7
j6042_3.sm,42,73,97,1.3287671232876712,3.381443298969072,4.0,6
j6042_4.sm,42,94,125,1.3297872340425532,2.856,4.0,5
j6042_5.sm,42,73,81,1.1095890410958904,3.9382716049382718,6.0,6
j6042_6.sm,42,82,103,1.2560975609756098,2.9320388349514563,4.0,6
j6042_7.sm,42,55,74,1.3454545454545455,3.6216216216216215,5.0,5
j6042_8.sm,42,78,97,1.2435897435897436,3.5257731958762886,5.0,6
j6042_9.sm,42,70,86,1.2285714285714286,3.63953488372093,5.0,6
j6043_1.sm,43,108,108,1.0,3.0925925925925926,6.0,7
j6043_10.sm,43,78,78,1.0,3.769230769230769,6.0,7
j6043_2.sm,43,85,85,1.0,4.117647058823529,5.6000000000000085,6
j6043_3.sm,43,74,74,1.0,4.513513513513513,6.700000000000003,7
j6043_4.sm,43,74,85,1.1486486486486487,4.3882352941176475,6.0,7
j6043_5.sm,43,64,64,1.0,4.703125,7.0,8
