tau_min,p_reporte,p_deteccao,tau_inicial,metrica,media,ic95_inferior,ic95_superior,n_instancias
0.25,0.75,0.12,0.0,divida_latente_sobre_plano,0.033139101464185604,0.01325856915249618,0.05301963377587503,4
0.25,0.75,0.12,0.0,taxa_falha_efetiva,0.31875,0.2698787978170381,0.36762120218296185,4
0.25,0.75,0.12,0.0,fracao_porta1,0.5947916666666666,0.5249654917120006,0.6646178416213326,4
0.25,0.75,0.12,0.0,N_req,0.0,0.0,0.0,4
0.25,0.75,0.12,0.0,mu_rede_medio,0.5989163275500611,0.567512811837309,0.6303198432628132,4
0.25,0.75,0.12,0.1,atraso_relativo,2.560989341070779,1.5350251233394143,3.5869535588021435,4
0.25,0.75,0.12,0.1,taxa_omissao,0.08541666666666667,0.06963388019661931,0.10119945313671402,4
0.25,0.75,0.12,0.1,divida_latente_sobre_plano,0.023710546253345642,0.018320583106043096,0.02910050940064819,4
0.25,0.75,0.12,0.1,taxa_falha_efetiva,0.31666666666666665,0.2803521327197257,0.3529812006136076,4
0.25,0.75,0.12,0.1,fracao_porta1,0.5874999999999999,0.49789143977341277,0.677108560226587,4
0.25,0.75,0.12,0.1,N_req,0.0,0.0,0.0,4
0.25,0.75,0.12,0.1,mu_rede_medio,0.6387295655222639,0.6037379352430231,0.6737211958015047,4
0.25,0.75,0.12,0.15,atraso_relativo,2.530611829018411,1.4252549072304563,3.635968750806366,4
0.25,0.75,0.12,0.15,taxa_omissao,0.08124999999999999,0.0637084135737531,0.09879158642624687,4
0.25,0.75,0.12,0.15,divida_latente_sobre_plano,0.029871739300318074,0.024313544819776475,0.03542993378085967,4
0.25,0.75,0.12,0.15,taxa_falha_efetiva,0.32291666666666663,0.3091150202732565,0.33671831306007677,4
0.25,0.75,0.12,0.15,fracao_porta1,0.5697916666666667,0.4788239403400095,0.6607593929933239,4
0.25,0.75,0.12,0.15,N_req,0.0,0.0,0.0,4
0.25,0.75,0.12,0.15,mu_rede_medio,0.6621184270563161,0.6159676562816173,0.7082691978310148,4
0.25,0.75,0.12,0.2,atraso_relativo,2.383448061401016,1.3352126247623426,3.431683498039689,4
0.25,0.75,0.12,0.2,taxa_omissao,0.09270833333333334,0.06051081180403197,0.1249058548626347,4
0.25,0.75,0.12,0.2,divida_latente_sobre_plano,0.025238010917642842,0.01819962567594655,0.03227639615933914,4
0.25,0.75,0.12,0.2,taxa_falha_efetiva,0.3104166666666667,0.2527437190026709,0.36808961433066245,4
0.25,0.75,0.12,0.2,fracao_porta1,0.5489583333333334,0.4804027938632913,0.6175138728033756,4
0.25,0.75,0.12,0.2,N_req,0.0,0.0,0.0,4
0.25,0.75,0.12,0.2,mu_rede_medio,0.6812524120479736,0.6205057585791134,0.7419990655168338,4
0.25,0.75,0.12,0.23,atraso_relativo,2.2736851608810316,1.4543414605247353,3.093028861237328,4
0.25,0.75,0.12,0.23,taxa_omissao,0.078125,0.05986713797989261,0.09638286202010739,4
0.25,0.75,0.12,0.23,divida_latente_sobre_plano,0.02419716360706565,0.016882385206736794,0.0315119420073945,4
0.25,0.75,0.12,0.23,taxa_falha_efetiva,0.29999999999999993,0.26368546605305904,0.33631453394694083,4
0.25,0.75,0.12,0.23,fracao_porta1,0.540625,0.4880350569733528,0.5932149430266472,4
0.25,0.75,0.12,0.23,N_req,0.0,0.0,0.0,4
0.25,0.75,0.12,0.23,mu_rede_medio,0.6962600024568754,0.6416412031180206,0.7508788017957301,4
0.25,0.75,0.12,0.24,atraso_relativo,2.282214158228763,1.3444648464710638,3.2199634699864625,4
0.25,0.75,0.12,0.24,taxa_omissao,0.07395833333333333,0.050129922813393187,0.09778674385327349,4
0.25,0.75,0.12,0.24,divida_latente_sobre_plano,0.026196357021799933,0.020953178393561464,0.0314395356500384,4
0.25,0.75,0.12,0.24,taxa_falha_efetiva,0.290625,0.22468414348079618,0.35656585651920386,4
0.25,0.75,0.12,0.24,fracao_porta1,0.5354166666666667,0.475500742511141,0.5953325908221923,4
0.25,0.75,0.12,0.24,N_req,0.0,0.0,0.0,4
0.25,0.75,0.12,0.24,mu_rede_medio,0.7031953328552693,0.6466145813668631,0.7597760843436754,4
0.25,0.75,0.12,0.249,atraso_relativo,2.35072068046644,1.221367979545207,3.480073381387673,4
0.25,0.75,0.12,0.249,taxa_omissao,0.071875,0.02582087807750718,0.1179291219224928,4
0.25,0.75,0.12,0.249,divida_latente_sobre_plano,0.02596967466184433,0.012966338216132262,0.038973011107556396,4
0.25,0.75,0.12,0.249,taxa_falha_efetiva,0.3104166666666667,0.23609252622835952,0.3847408071049738,4
0.25,0.75,0.12,0.249,fracao_porta1,0.5416666666666667,0.4867261384756809,0.5966071948576526,4
0.25,0.75,0.12,0.249,N_req,0.0,0.0,0.0,4
0.25,0.75,0.12,0.249,mu_rede_medio,0.7066838271727942,0.6380860308279797,0.7752816235176088,4
0.25,0.75,0.12,0.249999,atraso_relativo,2.3750493249677187,1.267855803525667,3.48224284640977,4
0.25,0.75,0.12,0.249999,taxa_omissao,0.07395833333333332,0.027587139701434844,0.1203295269652318,4
0.25,0.75,0.12,0.249999,divida_latente_sobre_plano,0.024719574047413373,0.012908578240502563,0.03653056985432418,4
0.25,0.75,0.12,0.249999,taxa_falha_efetiva,0.3145833333333333,0.24686108172836124,0.3823055849383054,4
0.25,0.75,0.12,0.249999,fracao_porta1,0.5416666666666667,0.4960521169214544,0.5872812164118791,4
0.25,0.75,0.12,0.249999,N_req,0.0,0.0,0.0,4
0.25,0.75,0.12,0.249999,mu_rede_medio,0.7085424954599038,0.6421253502553868,0.7749596406644208,4
0.25,0.75,0.12,0.25,atraso_relativo,2.3750493249677187,1.267855803525667,3.48224284640977,4
0.25,0.75,0.12,0.25,taxa_omissao,0.07395833333333332,0.027587139701434844,0.1203295269652318,4
0.25,0.75,0.12,0.25,divida_latente_sobre_plano,0.024719574047413373,0.012908578240502563,0.03653056985432418,4
0.25,0.75,0.12,0.25,taxa_falha_efetiva,0.3145833333333333,0.24686108172836124,0.3823055849383054,4
0.25,0.75,0.12,0.25,fracao_porta1,0.5416666666666667,0.4960521169214544,0.5872812164118791,4
0.25,0.75,0.12,0.25,N_req,0.0,0.0,0.0,4
0.25,0.75,0.12,0.25,mu_rede_medio,0.7085424954599038,0.6421253502553868,0.7749596406644208,4
0.25,0.75,0.12,0.250001,atraso_relativo,2.1055026472831697,0.9646455263305616,3.246359768235778,4
0.25,0.75,0.12,0.250001,taxa_omissao,0.07395833333333333,0.060290039307767,0.08762662735889967,4
0.25,0.75,0.12,0.250001,divida_latente_sobre_plano,0.020864432237978483,0.018333788453944583,0.023395076022012382,4
0.25,0.75,0.12,0.250001,taxa_falha_efetiva,0.2833333333333333,0.2531925132275221,0.31347415343914453,4
0.25,0.75,0.12,0.250001,fracao_porta1,0.4541666666666667,0.3710036528945294,0.537329680438804,4
0.25,0.75,0.12,0.250001,N_req,86.8125,40.75470343924802,132.87029656075197,4
0.25,0.75,0.12,0.250001,mu_rede_medio,0.8041416180647452,0.7147666539794859,0.8935165821500044,4
0.25,0.75,0.12,0.251,atraso_relativo,2.100616811369857,0.942093645121568,3.2591399776181462,4
0.25,0.75,0.12,0.251,taxa_omissao,0.075,0.06067735465892122,0.08932264534107878,4
0.25,0.75,0.12,0.251,divida_latente_sobre_plano,0.020680246919941993,0.0158338486115189,0.025526645228365088,4
0.25,0.75,0.12,0.251,taxa_falha_efetiva,0.284375,0.2605465894800599,0.3082034105199401,4
0.25,0.75,0.12,0.251,fracao_porta1,0.4604166666666667,0.38150273431643,0.5393305990169034,4
